task_family,n_points,best_aic,best_bic,sigmoid_r2,sigmoid_aic,sigmoid_bic,exponential_r2,exponential_aic,exponential_bic,power_law_r2,power_law_aic,power_law_bic,linear_r2,linear_aic,linear_bic,quadratic_r2,quadratic_aic,quadratic_bic,logarithmic_r2,logarithmic_aic,logarithmic_bic
number_list_steganography,14,sigmoid,sigmoid,0.8187857547361937,-67.78838344448255,-65.23215412602151,0.6863908827494853,-62.10984048632861,-60.192668497482835,0.3900341040314925,-52.79626087620673,-50.87908888736096,0.2206546089023803,-51.36554298722882,-50.0874283279983,0.49852651256129965,-55.53819318645124,-53.621021197605465,0.1825276214196374,-50.696863935753555,-49.41874927652304
oxdna_simple,14,linear,linear,0.5744948036525928,-33.32903096715848,-30.772801648697445,0.4536346432915588,-31.82888056274561,-29.911708573899837,0.4542511981954057,-31.844688012000994,-29.92751602315522,0.45244782300115993,-33.79850260449413,-32.520387945263614,0.4540162567659699,-31.83866239688524,-29.921490408039467,0.4423969652160761,-33.54384898276106,-32.265734323530545
password_check,14,exponential,exponential,0.8756063343798064,-52.37905078120592,-49.82282146274488,0.8828902247726386,-55.22380398887886,-53.30663200003309,0.7958875135501376,-47.44597097040231,-45.528798981556534,0.6147319218995521,-40.552216832737706,-39.27410217350719,0.8181430875039167,-49.06228585598477,-47.145113867138996,0.5548262015400381,-38.52886171542891,-37.25074705619839
pico_ctf,14,quadratic,quadratic,0.9401302631214452,-63.91845358542932,-61.36222426696828,0.9338991818499396,-64.5323139467356,-62.615141957889826,0.9337970290888793,-64.51069492963589,-62.593522940790116,0.8130069152542635,-51.9738467792797,-50.69573212004918,0.9420503449326817,-66.37480504079815,-64.45763305195237,0.7532531918234008,-48.091771287244704,-46.813656628014186
reverse_hash,14,quadratic,quadratic,0.9409604586216112,-60.856838101733274,-58.30060878327224,0.9274387140906742,-59.96970048637294,-58.05252849752717,0.930671445680497,-60.607745825636314,-58.69057383679054,0.8353114717820802,-50.49495812335962,-49.216843464129106,0.939348993414811,-62.47983462740923,-60.56266263856346,0.7792842082002022,-46.395479778481686,-45.11736511925117
sadservers,12,linear,linear,0.4603605648023311,-24.71570281928136,-22.77607622012936,0.4704214083820236,-26.9415383051022,-25.486818355738198,0.4663939768564822,-26.8506238791311,-25.395903929767098,0.43030051745643616,-28.065209288311316,-27.095395988735316,0.45970198707410137,-26.70106690915125,-25.24634695978725,0.40382324207318765,-27.52007090500103,-26.55025760542503
search_server,14,sigmoid,logarithmic,0.6284821159046536,-30.791178605851073,-28.234949287390037,0.4798911385344605,-28.08100271013373,-26.163830721287958,0.4925495179797815,-28.42594877811397,-26.508776789268197,0.4895594349602884,-30.34369776941898,-29.065583110188463,0.5005762954731237,-28.64916885280458,-26.731996863958805,0.4936060621917505,-30.455128056576974,-29.177013397346457
smart_contract_exploit,12,quadratic,quadratic,,inf,inf,0.5159333811797489,-89.224657152963,-87.769937203599,0.48425004506295544,-88.46386285125541,-87.00914290189141,0.3174122802893895,-87.10063507600319,-86.13082177642718,0.5257134360168219,-89.46958717357505,-88.01486722421105,0.2627503182190126,-86.17620823340117,-85.20639493382517
spn_cryptanalysis,14,logarithmic,logarithmic,0.0,-778.7554633861536,-776.1992340676925,0.0,-774.1861283042142,-772.2689563153684,0.0,-864.776449159125,-862.8592771702793,0.0,-1070.0048757896159,-1068.7267611303853,0.0,-852.1801601689599,-850.2629881801141,0.0,-1135.657547247064,-1134.3794325878334
symbolic_regression,14,sigmoid,sigmoid,0.5415809534273529,-58.32213457241129,-55.76590525395025,0.3365977731367581,-55.14776581203897,-53.230593823193196,0.17958977446085733,-52.17384371459938,-50.256671725753606,0.09603396275396592,-52.81602151378551,-51.53790685455499,0.24088398434789515,-53.260941911383355,-51.34376992253758,0.07809998418356934,-52.54099172808961,-51.26287706885909
tree_traversal_kernel,14,logarithmic,logarithmic,0.0,-778.7554633861536,-776.1992340676925,0.0,-774.1861283042142,-772.2689563153684,0.0,-864.776449159125,-862.8592771702793,0.0,-1070.0048757896159,-1068.7267611303853,0.0,-852.1801601689599,-850.2629881801141,0.0,-1135.657547247064,-1134.3794325878334
web_hacking,14,exponential,exponential,0.7382155025764281,-39.831822878611405,-37.27559356015037,0.732426619301848,-41.525611900767736,-39.60843991192196,0.5390700684987451,-33.911681241390546,-31.994509252544773,0.3645124320856099,-31.415630399384398,-30.13751574015388,0.598145795269601,-35.83187491543167,-33.914702926585896,0.31743525517910653,-30.415122373216995,-29.137007713986478
wikipedia_research,14,quadratic,quadratic,0.9320127617250908,-59.16071756781848,-56.604488249357445,0.9256003978155015,-59.89888945192638,-57.98171746308061,0.9115940654973602,-57.48405038289352,-55.56687839404775,0.7545395139609566,-45.18729404176274,-43.90917938253222,0.9294498260020276,-60.64265975527563,-58.72548776642986,0.6898236592880885,-41.911224105124255,-40.63310944589374
